,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
43,11X299,55.6,69.9,63.0,67.3,66.7,66.4,67.2,68.8,422.0,417.0,409.0,1248.0
44,11X418,47.6,63.6,61.8,62.2,60.6,68.7,48.1,61.5,408.0,428.0,404.0,1240.0
45,11X455,54.2,61.5,67.9,71.2,61.6,67.8,62.0,49.7,400.0,401.0,391.0,1192.0
46,11X513,62.4,66.2,67.2,57.5,69.5,59.3,70.3,65.4,407.0,363.0,358.0,1128.0
47,12X478,57.2,76.6,66.3,68.2,72.3,67.3,53.1,45.9,430.0,449.0,448.0,1327.0
48,13K419,40.2,65.3,61.2,64.7,60.5,68.3,57.1,68.0,399.0,397.0,386.0,1182.0
49,13K430,82.6,88.5,87.4,91.9,89.8,91.0,78.4,80.7,682.0,608.0,606.0,1896.0
50,13K605,47.0,67.6,55.6,58.1,61.0,58.8,60.5,57.2,394.0,422.0,400.0,1216.0
51,13K670,58.5,69.8,61.3,75.6,62.7,74.7,69.2,62.2,479.0,484.0,472.0,1435.0
52,14K478,55.8,67.5,61.4,61.9,64.4,69.2,62.3,61.4,463.0,446.0,425.0,1334.0
53,14K488,33.6,71.7,59.7,64.4,63.9,70.6,54.6,35.9,391.0,406.0,391.0,1188.0
54,14K561,62.7,69.2,71.7,70.3,71.7,67.6,70.8,66.9,443.0,440.0,430.0,1313.0
55,15K684,67.0,90.0,74.6,83.2,74.7,83.9,71.1,66.8,553.0,551.0,539.0,1643.0
56,16K498,56.1,71.4,64.5,64.8,62.5,70.5,66.1,57.5,395.0,401.0,383.0,1179.0
57,17K546,57.5,84.8,69.4,77.7,67.4,76.8,71.0,77.0,468.0,454.0,464.0,1386.0
58,18K563,51.9,69.4,68.0,68.9,64.1,69.0,54.8,61.1,364.0,374.0,361.0,1099.0
59,20K445,69.7,66.5,74.1,69.8,68.9,74.6,73.3,83.0,488.0,422.0,417.0,1327.0
60,20K485,57.1,73.2,58.5,67.7,68.0,75.3,61.4,65.0,475.0,440.0,445.0,1360.0
61,20K490,67.2,76.2,71.6,70.9,69.5,71.7,72.8,81.1,513.0,456.0,451.0,1420.0
62,20K505,73.5,71.0,72.2,68.5,73.0,77.0,69.0,73.2,504.0,411.0,407.0,1322.0
63,21K344,58.1,67.7,67.3,66.8,63.8,72.9,63.5,80.4,436.0,430.0,421.0,1287.0
64,21K410,72.7,50.4,63.2,62.8,62.2,62.2,59.2,57.3,441.0,422.0,422.0,1285.0
65,21K525,56.4,78.1,69.8,69.6,62.6,74.1,66.1,71.9,500.0,479.0,472.0,1451.0
66,21K540,52.7,62.3,63.7,69.3,68.2,70.1,60.4,58.2,512.0,418.0,396.0,1326.0
67,22K405,68.9,79.2,75.6,74.6,70.8,76.1,77.1,76.0,550.0,514.0,516.0,1580.0
68,22K425,67.3,71.8,69.3,76.8,67.3,69.7,66.1,75.8,492.0,450.0,444.0,1386.0
69,22K535,74.0,85.1,82.0,81.1,64.7,82.8,73.9,76.8,563.0,534.0,543.0,1640.0
70,24Q264,68.7,79.5,73.6,79.4,72.6,77.0,75.9,84.9,489.0,456.0,459.0,1404.0
71,24Q267,59.7,78.5,58.3,63.5,65.9,68.2,69.0,76.3,435.0,437.0,441.0,1313.0
72,24Q293,71.1,77.6,63.5,73.7,77.4,80.5,70.4,74.1,435.0,424.0,418.0,1277.0
73,24Q455,49.5,65.7,65.4,64.9,64.5,63.3,65.5,76.6,434.0,401.0,389.0,1224.0
74,24Q485,56.4,67.4,67.5,60.5,62.8,64.1,59.9,77.0,452.0,422.0,416.0,1290.0
75,24Q550,50.0,66.9,60.5,72.7,72.7,72.3,63.6,66.8,413.0,405.0,393.0,1211.0
76,24Q585,59.9,81.0,71.2,81.5,66.0,82.4,67.6,66.1,476.0,471.0,480.0,1427.0
77,24Q600,47.6,70.4,59.7,76.2,70.9,66.1,54.1,54.4,467.0,436.0,432.0,1335.0
78,24Q610,67.9,79.0,77.6,77.8,75.0,81.6,71.4,81.7,511.0,464.0,456.0,1431.0
79,25Q425,55.4,74.1,66.1,64.0,66.0,69.9,68.6,75.5,467.0,422.0,425.0,1314.0
80,25Q460,72.3,64.8,70.0,57.0,64.0,64.0,60.2,64.7,444.0,407.0,405.0,1256.0
81,25Q525,90.7,91.9,93.7,95.2,87.2,92.7,87.9,87.1,680.0,640.0,661.0,1981.0
82,26Q415,67.0,60.0,78.8,74.4,65.3,75.3,72.1,72.3,563.0,505.0,510.0,1578.0
83,26Q430,77.8,76.8,82.5,76.8,72.9,80.8,77.6,79.5,562.0,483.0,485.0,1530.0
84,26Q435,50.0,68.2,58.5,58.9,63.7,65.1,71.9,71.2,397.0,396.0,391.0,1184.0
85,26Q495,62.8,70.6,74.3,70.2,70.6,75.6,64.5,64.2,523.0,479.0,485.0,1487.0
86,26Q566,61.7,74.6,64.5,69.3,62.4,72.9,67.6,64.2,453.0,434.0,439.0,1326.0
87,27Q308,56.5,74.4,67.0,69.4,70.8,71.3,64.8,68.1,426.0,435.0,424.0,1285.0
88,27Q475,44.5,69.9,66.3,65.2,64.1,65.4,68.8,65.6,413.0,406.0,399.0,1218.0
89,27Q480,59.7,67.7,64.2,63.5,66.4,62.2,66.7,61.4,418.0,401.0,395.0,1214.0
90,27Q650,63.0,79.6,72.5,77.2,76.1,79.1,68.6,63.8,489.0,457.0,451.0,1397.0
91,28Q328,69.1,80.3,75.5,79.1,75.1,78.9,71.4,78.2,415.0,392.0,386.0,1193.0
92,28Q350,63.5,77.0,67.9,68.8,69.8,70.4,69.4,64.4,487.0,460.0,463.0,1410.0
93,28Q440,73.4,79.3,76.2,75.8,69.1,77.2,70.3,71.6,517.0,485.0,483.0,1485.0
94,28Q505,58.8,70.3,62.9,67.5,66.4,66.8,60.8,56.7,448.0,432.0,426.0,1306.0
95,28Q620,77.7,79.4,75.6,73.4,70.0,80.6,70.7,75.3,514.0,473.0,470.0,1457.0
96,29Q248,48.0,63.8,56.8,60.1,57.9,62.2,55.0,58.7,423.0,422.0,403.0,1248.0
97,29Q326,43.7,69.5,49.8,58.4,62.7,64.3,55.1,47.2,418.0,424.0,411.0,1253.0
98,30Q301,52.3,81.9,69.7,77.0,71.3,79.1,58.4,41.4,444.0,458.0,444.0,1346.0
99,30Q445,62.4,66.6,65.2,63.5,69.7,70.0,69.4,67.1,466.0,424.0,426.0,1316.0
100,30Q450,41.2,67.4,54.6,61.9,65.7,63.9,51.9,55.6,430.0,423.0,412.0,1265.0
101,30Q501,64.5,87.4,75.2,81.6,61.7,84.2,67.3,74.3,536.0,543.0,543.0,1622.0
102,30Q502,75.1,71.8,77.2,67.2,64.5,75.1,76.3,72.1,443.0,420.0,411.0,1274.0
103,30Q555,67.0,65.6,75.0,63.4,72.6,77.1,69.3,79.8,490.0,374.0,381.0,1245.0
104,31R047,53.8,85.1,74.0,79.5,72.5,81.5,77.2,71.9,477.0,468.0,464.0,1409.0
105,31R440,58.1,74.4,66.3,66.9,67.2,72.7,66.7,70.0,454.0,446.0,444.0,1344.0
106,31R445,57.9,67.9,60.3,59.7,65.4,67.0,62.8,67.6,432.0,427.0,425.0,1284.0
107,31R450,54.5,71.1,62.0,63.1,66.5,67.6,64.4,64.0,453.0,458.0,444.0,1355.0
108,31R455,61.5,78.7,66.7,71.6,66.6,73.4,63.7,66.2,494.0,476.0,476.0,1446.0
109,31R460,62.3,77.7,66.5,71.8,65.4,73.3,68.9,71.7,496.0,490.0,487.0,1473.0
111,32K545,52.8,69.8,66.7,60.7,63.5,64.5,61.7,61.1,389.0,374.0,378.0,1141.0
