,School DBN,Algebra2/Trigonometry,English,Geometry,Global History and Geography,Integrated Algebra,Living Environment,Physical Settings/Chemistry,Physical Settings/Physics,Zip Code,Latitude,Longitude,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Average SAT Score (Total)
79,25Q425,55.4,74.1,66.1,64.0,66.0,69.9,68.6,75.5,11367.0,40.7387,-73.82479000000001,467.0,422.0,425.0,1314.0
80,25Q460,72.3,64.8,70.0,57.0,64.0,64.0,60.2,64.7,11354.0,40.765240000000006,-73.82786,444.0,407.0,405.0,1256.0
81,25Q525,90.7,91.9,93.7,95.2,87.2,92.7,87.9,87.1,11367.0,40.73441,-73.82141999999999,680.0,640.0,661.0,1981.0
82,26Q415,67.0,60.0,78.8,74.4,65.3,75.3,72.1,72.3,11364.0,40.752390000000005,-73.75608000000001,563.0,505.0,510.0,1578.0
83,26Q430,77.8,76.8,82.5,76.8,72.9,80.8,77.6,79.5,11365.0,40.740559999999995,-73.79285,562.0,483.0,485.0,1530.0
84,26Q435,50.0,68.2,58.5,58.9,63.7,65.1,71.9,71.2,11427.0,40.732820000000004,-73.73965,397.0,396.0,391.0,1184.0
85,26Q495,62.8,70.6,74.3,70.2,70.6,75.6,64.5,64.2,11361.0,40.77187,-73.78039,523.0,479.0,485.0,1487.0
86,26Q566,61.7,74.6,64.5,69.3,62.4,72.9,67.6,64.2,11426.0,40.7449,-73.72691,453.0,434.0,439.0,1326.0
87,27Q308,56.5,74.4,67.0,69.4,70.8,71.3,64.8,68.1,11417.0,40.67177,-73.84498,426.0,435.0,424.0,1285.0
88,27Q475,44.5,69.9,66.3,65.2,64.1,65.4,68.8,65.6,11418.0,40.69565,-73.83358,413.0,406.0,399.0,1218.0
89,27Q480,59.7,67.7,64.2,63.5,66.4,62.2,66.7,61.4,11417.0,40.679829999999995,-73.83832,418.0,401.0,395.0,1214.0
90,27Q650,63.0,79.6,72.5,77.2,76.1,79.1,68.6,63.8,11416.0,40.6894,-73.84064000000001,489.0,457.0,451.0,1397.0
91,28Q328,69.1,80.3,75.5,79.1,75.1,78.9,71.4,78.2,11432.0,40.71358,-73.79652,415.0,392.0,386.0,1193.0
92,28Q350,63.5,77.0,67.9,68.8,69.8,70.4,69.4,64.4,11432.0,40.71358,-73.79652,487.0,460.0,463.0,1410.0
93,28Q440,73.4,79.3,76.2,75.8,69.1,77.2,70.3,71.6,11375.0,40.72943,-73.84563,517.0,485.0,483.0,1485.0
94,28Q505,58.8,70.3,62.9,67.5,66.4,66.8,60.8,56.7,11432.0,40.70876,-73.80213,448.0,432.0,426.0,1306.0
95,28Q620,77.7,79.4,75.6,73.4,70.0,80.6,70.7,75.3,11432.0,40.71588,-73.79881999999999,514.0,473.0,470.0,1457.0
96,29Q248,48.0,63.8,56.8,60.1,57.9,62.2,55.0,58.7,11413.0,40.66823,-73.75684,423.0,422.0,403.0,1248.0
97,29Q326,43.7,69.5,49.8,58.4,62.7,64.3,55.1,47.2,11423.0,40.71182,-73.77119,418.0,424.0,411.0,1253.0
98,30Q301,52.3,81.9,69.7,77.0,71.3,79.1,58.4,41.4,11101.0,40.74114,-73.94969,444.0,458.0,444.0,1346.0
99,30Q445,62.4,66.6,65.2,63.5,69.7,70.0,69.4,67.1,11103.0,40.75812,-73.91033,466.0,424.0,426.0,1316.0
100,30Q450,41.2,67.4,54.6,61.9,65.7,63.9,51.9,55.6,11106.0,40.76576,-73.93273,430.0,423.0,412.0,1265.0
101,30Q501,64.5,87.4,75.2,81.6,61.7,84.2,67.3,74.3,11106.0,40.75653,-73.92514,536.0,543.0,543.0,1622.0
102,30Q502,75.1,71.8,77.2,67.2,64.5,75.1,76.3,72.1,11101.0,40.74792,-73.94657,443.0,420.0,411.0,1274.0
103,30Q555,67.0,65.6,75.0,63.4,72.6,77.1,69.3,79.8,11101.0,40.75138,-73.93745,490.0,374.0,381.0,1245.0
104,31R047,53.8,85.1,74.0,79.5,72.5,81.5,77.2,71.9,10314.0,40.58202,-74.15785,477.0,468.0,464.0,1409.0
105,31R440,58.1,74.4,66.3,66.9,67.2,72.7,66.7,70.0,10306.0,40.569179999999996,-74.1073,454.0,446.0,444.0,1344.0
106,31R445,57.9,67.9,60.3,59.7,65.4,67.0,62.8,67.6,10302.0,40.63384,-74.14211,432.0,427.0,425.0,1284.0
107,31R450,54.5,71.1,62.0,63.1,66.5,67.6,64.4,64.0,10301.0,40.644740000000006,-74.08134,453.0,458.0,444.0,1355.0
108,31R455,61.5,78.7,66.7,71.6,66.6,73.4,63.7,66.2,10312.0,40.52823,-74.19215,494.0,476.0,476.0,1446.0
109,31R460,62.3,77.7,66.5,71.8,65.4,73.3,68.9,71.7,10314.0,40.59865,-74.1231,496.0,490.0,487.0,1473.0
111,32K545,52.8,69.8,66.7,60.7,63.5,64.5,61.7,61.1,11221.0,40.69448,-73.92915,389.0,374.0,378.0,1141.0
